PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEUI(kBtu/sf),Electricity(kBtu),NaturalGas(kBtu)
Hotel,DOWNTOWN,1961,1.0,4,122309,0,122309,Hotel,,208.1000061,6322533.0,19131155.0
Other,DOWNTOWN,1995,4.0,3,215476,0,215476,Other,,110.5999985,13788853.0,10228916.0
Hotel,DOWNTOWN,2003,1.0,8,254273,38800,215473,Hotel,,96.19999695,13763542.0,12895700.0
Other,DOWNTOWN,1980,1.0,2,69400,0,69400,Other - Entertainment/Public Assembly,,213.6999969,10534370.0,4299104.0
Mixed Use Property,DOWNTOWN,1900,1.0,1,62900,0,62900,Restaurant,Other,158.3000031,3787933.0,6606397.0
Small- and Mid-Sized Office,DOWNTOWN,1914,1.0,4,56500,0,56500,Office,Retail Store,34.5,887532.0,0.0
Warehouse,GREATER DUWAMISH,2008,1.0,4,203504,0,203504,Non-Refrigerated Warehouse,Other - Services,18.60000038,3785282.0,0.0
Large Office,DOWNTOWN,1968,0.0,3,100734,26731,74003,Office,,97.19999695,9788716.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1981,1.0,4,77662,18504,59158,Office,Parking,80.59999847,4286102.0,721298.0
Large Office,DOWNTOWN,1978,1.0,12,234000,21790,212210,Office,Laboratory,89.40000153,18246151.0,415452.0
Large Office,DOWNTOWN,1989,1.0,25,369996,0,369996,Office,Parking,64.5,24755084.0,0.0
Retail Store,DOWNTOWN,1925,1.0,10,693450,0,693450,Retail Store,Office,57.79999924,37497068.0,2544584.0
Large Office,DOWNTOWN,1976,1.0,33,791396,0,791396,Office,Parking,60.29999924,40839637.0,538251.0
Large Office,DOWNTOWN,2000,1.0,23,747747,205076,542671,Office,Parking,56.20000076,27883939.0,3101477.0
Small- and Mid-Sized Office,DOWNTOWN,1926,1.0,10,63409,7757,55652,Office,Retail Store,66.90000153,1357845.0,0.0
Large Office,DOWNTOWN,1930,1.0,17,204790,30000,174790,Office,Other - Recreation,44.5,6736076.0,1003622.0
Small- and Mid-Sized Office,DOWNTOWN,1916,1.0,5,73399,0,73399,Office,Retail Store,61.09999847,3757005.0,0.0
Large Office,DOWNTOWN,1969,1.0,20,265851,32334,233517,Office,Parking,64.59999847,8064399.0,0.0
Large Office,DOWNTOWN,2009,1.0,25,758043,228668,529375,Office,Parking,46.40000153,26131643.0,886373.0
Large Office,DOWNTOWN,1968,1.0,12,206000,0,206000,Office,Parking,53.29999924,6267781.0,0.0
Large Office,DOWNTOWN,2009,1.0,36,824887,154972,669915,Office,Parking,53.20000076,39523847.0,0.0
Large Office,DOWNTOWN,1990,1.0,16,480840,141600,339240,Office,Parking,52.70000076,17733276.0,133724.0
Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,7,89550,0,89550,Office,Retail Store,47.70000076,3554872.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,6,89355,0,89355,Office,Retail Store,46.79999924,4116601.0,61632.0
Large Office,DOWNTOWN,1922,1.0,15,388934,0,388934,Office,,47.79999924,17384553.0,0.0
Large Office,DOWNTOWN,1929,1.0,22,384302,0,384302,Office,Convenience Store without Gas Station,28.39999962,10062435.0,0.0
Large Office,DOWNTOWN,1958,1.0,17,378525,84600,293925,Office,Parking,105.1999969,13985064.0,0.0
Large Office,DOWNTOWN,1983,1.0,47,1323055,0,1323055,Office,Parking,42.59999847,44521844.0,161812.0
Large Office,DOWNTOWN,1986,1.0,41,589921,129432,460489,Office,Parking,51.20000076,24603417.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1950,1.0,6,91091,1392,89699,Office,Parking,20.5,1355021.0,0.0
Large Office,DOWNTOWN,1968,1.0,8,157941,62993,94948,Office,Parking,44.09999847,3743228.0,0.0
Large Office,DOWNTOWN,1991,1.0,29,635303,197231,438072,Office,Parking,34.90000153,18040489.0,0.0
Large Office,DOWNTOWN,1980,1.0,34,776762,162604,614158,Office,Parking,53.70000076,32457349.0,95076.0
Large Office,DOWNTOWN,1972,1.0,14,186768,23775,162993,Office,Parking,52.70000076,7486064.0,0.0
Large Office,DOWNTOWN,1969,1.0,49,1123435,368980,754455,Office,Parking,52.70000076,38378889.0,6784415.0
Large Office,DOWNTOWN,2002,1.0,37,1052469,164420,888049,Office,Parking,46.29999924,41213579.0,0.0
Large Office,DOWNTOWN,1973,1.0,42,617684,171500,446184,Office,Parking,115.9000015,68636822.0,0.0
Large Office,DOWNTOWN,1907,1.0,8,201480,0,201480,Office,Retail Store,44.29999924,7301810.0,0.0
Large Office,DOWNTOWN,1990,1.0,63,1354987,159600,1195387,Office,Parking,50.40000153,61576180.0,0.0
Large Office,DOWNTOWN,2001,1.0,14,310490,0,310490,Office,Other,71.0,16124036.0,5045465.0
Large Office,DOWNTOWN,2003,1.0,8,199530,30660,168870,Office,Parking,73.19999695,8738965.0,4475451.0
Large Office,DOWNTOWN,2006,1.0,13,372242,52703,319539,Office,Parking,43.29999924,11248986.0,2594878.0
Large Office,DOWNTOWN,1909,1.0,7,114395,8296,106099,Office,,28.39999962,1640689.0,1105871.0
Retail Store,NORTHEAST,1978,1.0,2,89200,0,89200,Retail Store,,72.40000153,5499125.0,962811.0
